"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.411545430E-1,-1.878471375E-1,1.616199017E-1,5.212240219E-1,5.771325850E-1
1.604603770E-1,-3.690462112E-1,-1.340014935E-1,7.882409096E-1,8.806107187E-1
1.797780330E-1,-4.421949387E-2,-2.958998680E-1,-3.326759338E-1,4.474208002E-1
1.990656890E-1,-2.863841057E-1,-6.603622437E-2,-4.563918114E-1,5.428352645E-1
2.183061580E-1,-4.397435188E-1,-5.799984932E-2,4.708981514E-1,6.469029401E-1
2.375940750E-1,-2.277507782E-1,-2.982301712E-1,4.297890663E-1,5.705526212E-1
2.569307930E-1,-1.254305840E-1,-3.018558025E-1,-4.863438606E-1,5.859864398E-1
2.761699080E-1,-2.214713097E-1,-3.771753311E-1,-7.503700256E-1,8.685424266E-1
2.954577730E-1,-1.776313782E-1,-6.939723492E-1,-4.643869400E-1,8.537012112E-1
3.147456890E-1,6.327438354E-2,-8.654954433E-1,-6.939640045E-1,1.111157977E0
3.340823560E-1,8.650779724E-2,-1.009480715E0,-1.255578518E0,1.613385362E0
3.533691790E-1,-2.416934967E-1,-1.091492891E0,-1.045212746E0,1.530438552E0
3.726567830E-1,-6.278991699E-1,-8.995156288E-1,-3.512291908E-1,1.151845336E0
3.918973040E-1,-4.835309982E-1,-7.039258480E-1,2.000522614E-2,8.542330097E-1
4.111852210E-1,-5.646419525E-1,-3.520100117E-1,1.659274101E-1,6.857576017E-1
4.304731370E-1,-3.448176384E-1,-2.363729477E-1,1.378717422E-1,4.402044882E-1
4.498564710E-1,-7.392501831E-2,9.809541702E-2,-8.775339127E-1,8.860888144E-1
4.690489180E-1,4.590888023E-1,4.357616901E-1,-1.744727135E0,1.855996647E0
4.883368350E-1,1.125537395E0,5.410754681E-1,-2.015038967E0,2.370649516E0
5.076724080E-1,1.030001879E0,6.328334808E-1,-1.401189327E0,1.850598178E0
5.269603250E-1,4.026508331E-2,8.759746552E-1,-6.509685516E-1,1.092113972E0
5.462479810E-1,-4.830980301E-1,8.629083633E-1,-2.200307846E-1,1.013118007E0
5.654884500E-1,-5.162868500E-1,7.411811352E-1,7.403945923E-2,9.063020623E-1
5.847763660E-1,-6.214179993E-1,6.524071693E-1,-1.075267792E-2,9.010610770E-1
6.041116790E-1,-4.733502865E-1,3.808591366E-1,-6.431384087E-1,8.847266178E-1
6.233995960E-1,-6.206786633E-1,1.848187447E-1,-1.470537186E0,1.606822823E0
6.426400640E-1,-7.370278835E-1,1.654076576E-1,-2.351090431E0,2.469452573E0
6.619279810E-1,-1.623737812E-1,3.717265129E-1,-1.963698864E0,2.005158117E0
6.812158980E-1,-2.906448841E-1,8.711709976E-1,-1.691804886E0,1.924997955E0
7.005037620E-1,-5.222795010E-1,1.390814066E0,-9.231967926E-1,1.749123198E0
7.198093870E-1,-5.572247505E-1,7.867491245E-1,-1.632114887E0,1.895592945E0
7.390795960E-1,-1.311801910E0,1.042065620E0,-1.216805458E0,2.070589417E0
7.583675120E-1,-1.707292795E0,9.323816299E-1,-2.288818359E-1,1.958716694E0
7.776581890E-1,2.836472988E-1,-1.443297863E-1,1.056811333E0,1.103692471E0
7.969909500E-1,1.813647866E0,2.770960331E-1,1.325786591E0,2.263583636E0
8.162177730E-1,1.036667824E-2,1.252122641E0,-4.166984558E-1,1.319680332E0
8.355190750E-1,-4.049616814E0,4.241666794E-1,4.768164635E0,6.270144152E0
8.548546480E-1,-6.778845787E0,-1.051758766E0,1.076935482E1,1.276863148E1
8.741291270E-1,-3.935293198E0,-2.829558849E0,8.236789703E0,9.557072797E0
8.934304810E-1,-1.141394854E0,-3.410598755E0,4.226583481E0,5.549682333E0
9.126706890E-1,-1.168708801E0,-1.980693340E0,1.996249199E0,3.045330398E0
9.319586060E-1,-1.365990639E0,-1.372418046E0,4.937712669E0,5.303816373E0
9.512941790E-1,-2.327977896E0,-8.791057467E-1,3.607645988E0,4.382626789E0
9.705820960E-1,-1.970314264E0,-1.727061272E0,1.252853394E0,2.904224606E0
9.898088660E-1,1.942545414E0,-1.645894885E0,2.598584175E0,3.638006648E0
1.009110221E0,2.327722311E0,-3.344230652E-1,1.994849205E0,3.083756361E0
1.028445793E0,-2.280970573E0,1.225081921E0,-2.869345188E0,3.864814909E0
1.047720273E0,-2.412547588E0,5.310062170E-1,-2.767086983E0,3.709329298E0
