"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.557731810E-1,5.162521601E-1,-6.927337646E-1,3.989038467E-1,9.515884827E-1
1.757217490E-1,-1.483079195E-1,-4.228768349E-1,8.037300110E-1,9.202184453E-1
1.956704390E-1,-4.836093187E-1,-2.078437805E-2,5.225329399E-1,7.122855023E-1
2.156196590E-1,-4.392075539E-1,-1.090764999E-1,9.877014160E-2,4.632024386E-1
2.355683080E-1,-2.211042643E-1,-4.574766159E-1,-1.350116730E-2,5.082855804E-1
2.554975490E-1,-2.978035212E-1,-3.432040215E-1,2.413330078E-1,5.145071022E-1
2.754700020E-1,-5.031359196E-1,3.282337189E-1,8.519239426E-1,1.042428670E0
2.954124670E-1,-2.532244921E-1,2.306928635E-1,9.620981216E-1,1.021261297E0
3.153627440E-1,2.483202815E-1,-2.041449547E-1,-3.948020935E-2,3.238777727E-1
3.353112710E-1,5.725051761E-1,-4.241633415E-1,-2.952747345E-1,7.712741962E-1
3.552416920E-1,4.225984514E-1,-5.221681595E-1,3.175573349E-1,7.430287335E-1
3.752081230E-1,5.719544888E-1,-6.832635403E-1,2.326574326E-1,9.209291415E-1
3.951565690E-1,2.351209164E0,-1.606643200E0,2.479152679E-1,2.858487167E0
4.151051780E-1,2.960210562E0,-2.962600946E0,5.997791290E-1,4.230790227E0
4.350538680E-1,2.119801521E0,-3.861680508E0,2.534465790E-1,4.412524221E0
4.550025180E-1,-5.656014681E-1,-3.657754898E0,-2.814626694E-1,3.711912869E0
4.749509230E-1,-1.471317112E-1,-9.796471596E-1,-6.394472122E-1,1.179088222E0
4.948997350E-1,2.815998077E0,-5.307531357E-2,9.107494354E-1,2.960088967E0
5.148482220E-1,3.297770500E0,-3.424878120E-1,1.504793167E0,3.641015058E0
5.347968720E-1,1.670783758E-1,-2.802053213E0,-7.310862541E-1,2.900673112E0
5.547455620E-1,5.183097124E-1,-3.476129055E0,-3.447992325E0,4.923491570E0
