"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.538729610E-1,2.544496536E0,-1.172153473E0,-2.354922771E0,3.659790656E0
1.738161770E-1,2.546861410E0,-1.051637173E0,-2.965294838E0,4.047890471E0
1.937670410E-1,-4.819035530E-3,-3.877930641E-1,-1.020741463E0,1.091933980E0
2.137175410E-1,-2.821072340E-1,-4.904174805E-1,-9.165763855E-3,5.658425645E-1
2.336689550E-1,1.602247715E0,-1.460985661E0,-1.464482307E0,2.616559816E0
2.536186810E-1,2.470824242E0,-1.662852049E0,-3.036064148E0,4.252967773E0
2.735881820E-1,2.360668659E0,-1.047290325E0,-3.619400978E0,4.446305993E0
2.935393530E-1,1.757725716E0,-5.579643250E-1,-2.880655289E0,3.420394534E0
3.134803500E-1,-1.408493638E0,4.773855209E-2,-1.772297859E0,2.264326169E0
3.334405340E-1,-3.644903183E0,1.985936165E-1,4.274101257E-1,3.675246666E0
3.533915620E-1,5.310677528E0,-1.112485886E0,5.330954552E0,7.606575911E0
3.733404330E-1,4.124411583E0,-2.403163910E-2,4.733858109E-1,4.151559051E0
3.932936170E-1,5.856572151E0,-1.517576694E0,1.217352390E1,1.359401194E1
4.132346760E-1,9.654117584E0,-3.449089050E0,2.241503334E1,2.464816263E1
4.331906690E-1,4.684957981E0,-3.274676323E0,1.517517090E1,1.621598434E1
4.531454190E-1,3.135580063E0,-2.195519447E0,7.460058212E0,8.384786014E0
4.730964070E-1,2.230971813E0,-9.483237267E-1,6.058080673E0,6.525097284E0
4.930475160E-1,1.117748857E0,-1.261495590E0,5.214369774E0,5.479998702E0
5.129885750E-1,1.491336346E0,7.884645462E-2,7.534875870E-1,1.672735605E0
5.329482900E-1,-2.342238665E0,2.434463978E0,-7.087878227E0,7.851796902E0
5.528993180E-1,-5.123792648E0,7.678041458E-1,-1.233352757E1,1.337754374E1
5.728493900E-1,-7.211989403E0,-1.667891741E0,-1.431853199E1,1.611877825E1
5.927823110E-1,-8.423807144E0,-4.506701946E0,-1.507059002E1,1.784358632E1
6.127425350E-1,-8.011295319E0,-4.216336727E0,-1.267817497E1,1.557865427E1
6.326820470E-1,-7.574711800E0,-3.390246630E0,-4.756936073E0,9.565483358E0
6.526532980E-1,-7.293277740E0,-5.741646290E-1,-2.128181458E-1,7.318938228E0
6.726042250E-1,-4.789338589E0,1.789021254E0,-2.450329781E0,5.669433587E0
6.925541130E-1,-5.303873062E0,2.632539988E0,-5.693136215E0,8.214203322E0
7.125060570E-1,-4.441895485E0,4.022967815E0,-5.934782982E0,8.434237048E0
7.324521000E-1,-3.439198971E0,3.341891766E0,-3.986842155E0,6.236284191E0
7.523960070E-1,-3.648807764E0,2.841835976E0,-2.237994671E0,5.137942191E0
7.723581640E-1,-1.706615686E0,3.571297169E0,-2.978206635E0,4.953424606E0
7.923090700E-1,2.689599514E0,4.364059448E0,-1.916721344E0,5.472913404E0
8.122598130E-1,5.182453156E0,3.008267164E0,4.245694160E0,7.343937019E0
8.322000990E-1,7.496037006E0,-2.834623814E0,9.493851662E0,1.242412501E1
8.521616660E-1,1.459067154E1,-9.732865334E0,1.725821686E1,2.460614583E1
8.721026630E-1,2.118611336E1,-9.443293571E0,3.013257217E1,3.802629483E1
8.920445160E-1,1.805618286E1,-1.199890614E1,3.001451302E1,3.702526812E1
9.120048210E-1,1.449825478E1,-1.200767231E1,1.991336060E1,2.740302020E1
9.319643740E-1,1.107734013E1,-5.006600380E0,9.212744713E0,1.525280882E1
9.519142010E-1,4.356710911E0,-2.437416315E0,5.363620758E0,7.327370326E0
9.718547710E-1,-6.592278481E-1,6.182676554E-2,2.943807602E0,3.017351007E0
9.918039070E-1,-2.180523396E0,1.990139008E0,-2.678534508E0,3.986211567E0
1.011766980E0,-2.795050144E0,2.642192841E0,-8.648161888E0,9.464892623E0
1.031718944E0,-5.142001629E0,2.427182436E0,-1.225425339E1,1.350918656E1
1.051669096E0,-8.440134048E0,1.338271856E0,-1.105681610E1,1.397426265E1
1.071619494E0,-1.012677765E1,1.255164146E-1,-7.518474102E0,1.261328002E1
1.091564725E0,-1.044552231E1,-7.055801153E-1,-5.616136074E0,1.188056244E1
1.111521490E0,-1.003047466E1,-1.306028366E0,-4.813288212E0,1.120195855E1
1.131463220E0,-9.218113899E0,-4.545575380E-1,-4.633924007E0,1.032731805E1
1.151422203E0,-8.462051392E0,5.367335081E-1,-4.849765778E0,9.768040986E0
1.171363282E0,-8.076505661E0,4.533346891E-1,-5.370316029E0,9.709570036E0
1.191324889E0,-7.683870316E0,2.392699718E-1,-4.722460747E0,9.022236344E0
1.211274758E0,-7.299266815E0,3.440190554E-1,-3.826852798E0,8.248784607E0
1.231226539E0,-7.195939064E0,5.560698509E-1,-3.842167616E0,8.176368673E0
1.251177241E0,-6.135474205E0,8.550099134E-1,-3.975981474E0,7.360945208E0
1.271124831E0,-4.846784592E0,1.257729650E0,-4.614912033E0,6.809597479E0
1.291078219E0,-4.901023865E0,1.071562290E0,-5.713987350E0,7.603810368E0
1.311029511E0,-4.678329468E0,1.177667856E0,-5.862697124E0,7.592422918E0
1.330979257E0,-3.702468157E0,1.321563244E0,-6.131781578E0,7.283786459E0
