"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
6.748833344E-3,-3.197459248E-1,1.578689754E-1,-5.134872758E-1,6.251633804E-1
1.673083333E-2,-2.926241997E-1,1.498734927E-1,-3.462066221E-1,4.774411076E-1
2.671183334E-2,-2.851298234E-1,1.909528139E-1,-6.050640285E-2,3.484580579E-1
3.669383333E-2,-2.270111310E-1,2.284875530E-1,1.461686969E-1,3.537031290E-1
4.667483334E-2,-1.648678002E-1,2.139241853E-1,2.610366637E-1,3.756129502E-1
5.665683333E-2,-1.467835316E-1,2.283565754E-1,3.101842654E-1,4.121970514E-1
6.663783334E-2,-1.966480020E-1,1.873222777E-1,3.432958782E-1,4.377352309E-1
7.662016668E-2,-2.948870721E-1,1.630554557E-1,2.688596535E-1,4.310811759E-1
8.660116667E-2,-2.984518272E-1,9.695180565E-2,1.593126529E-1,3.519284972E-1
9.658216668E-2,-3.413274130E-1,2.569520912E-1,-2.285325766E-2,4.278446580E-1
1.065641667E-1,-2.232963949E-1,2.771799490E-1,-3.435940862E-1,4.947190113E-1
1.165451667E-1,4.516535550E-2,8.336843133E-2,-5.948319858E-1,6.023415111E-1
1.265271667E-1,9.826538265E-3,1.083342880E-2,-7.042433310E-1,7.043951968E-1
1.365081667E-1,-3.152672499E-2,-2.460069805E-2,-7.636574739E-1,7.647037768E-1
1.464901667E-1,-2.097250074E-2,-3.987187117E-2,-7.424887991E-1,7.438543061E-1
1.564711667E-1,-1.442671824E-1,-9.332331598E-2,-5.954091060E-1,6.197049820E-1
1.664531667E-1,-2.546471187E-1,-2.050943050E-1,-6.119140416E-1,6.937922048E-1
1.764341667E-1,-4.085209841E-1,-2.225804034E-1,-8.258888054E-1,9.479049263E-1
1.864161667E-1,-6.443938628E-1,-2.383810419E-1,-9.389628464E-1,1.163494821E0
1.963971667E-1,-6.995094252E-1,-4.043656603E-1,-8.385831106E-1,1.164494163E0
2.063791667E-1,-7.062986273E-1,-4.798698789E-1,-6.961753428E-1,1.101722723E0
2.163601667E-1,-7.369576254E-1,-4.908413020E-1,-3.595160544E-1,9.556586832E-1
2.263411667E-1,-7.343906978E-1,-5.821742257E-1,1.377171314E-1,9.472183140E-1
2.363231667E-1,-7.393681401E-1,-6.324886394E-1,4.071211606E-1,1.054729712E0
2.463041667E-1,-8.332416791E-1,-5.179364222E-1,5.858033001E-1,1.142679019E0
2.562861667E-1,-9.448281884E-1,-4.767600372E-1,7.898857445E-1,1.320575605E0
2.662671667E-1,-1.081983841E0,-6.305154964E-1,7.096999526E-1,1.439414063E0
2.762491667E-1,-1.273216590E0,-7.236625189E-1,4.380447453E-1,1.528610848E0
2.862301667E-1,-1.520967357E0,-3.718589419E-1,2.029404831E-1,1.578862126E0
2.962121667E-1,-1.686319014E0,4.900259078E-3,3.238538861E-2,1.686637081E0
3.061931667E-1,-1.729996253E0,2.257902324E-2,-2.737338924E-1,1.751664092E0
3.161751667E-1,-1.902055398E0,-1.084854385E-1,-5.390214819E-1,1.979931308E0
3.261561667E-1,-2.055130387E0,-8.556552261E-2,-4.523593140E-1,2.106065364E0
3.361381667E-1,-1.038521779E0,1.711570653E-1,-3.892011988E-1,1.122185279E0
3.461191667E-1,-6.776580879E-1,-2.281829131E-1,-2.413730621E-2,7.154512810E-1
3.561011667E-1,-7.775590830E-1,-3.935974279E-1,3.239205444E-1,9.297535059E-1
3.660821667E-1,-9.464377807E-1,-1.952701056E-1,5.846373653E-1,1.129458160E0
3.760641667E-1,-1.164920017E0,-7.431255609E-2,8.619573551E-1,1.451044963E0
3.860451667E-1,-1.224304193E0,-4.811293691E-2,1.064727100E0,1.623231163E0
3.960261667E-1,-1.095900799E0,-4.625732303E-2,1.056176131E0,1.522710190E0
