"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
6.067249982E-3,1.644374451E-1,-6.609254032E-2,1.361301970E-1,2.234710894E-1
1.604925000E-2,1.757006443E-1,6.210590869E-2,4.928618073E-3,1.864192897E-1
2.603124999E-2,2.363643372E-1,5.871160001E-2,-1.821770203E-1,3.041440754E-1
3.601225000E-2,1.846913230E-1,3.733447194E-3,-2.465922868E-1,3.081113100E-1
4.599424999E-2,9.389955908E-2,1.713526547E-3,-2.329261744E-1,2.511467023E-1
5.597624998E-2,8.096317917E-2,5.923784941E-2,-2.300709790E-1,2.509916623E-1
6.595824999E-2,1.362635136E-1,1.514215431E-1,-1.493595225E-1,2.525955181E-1
7.594024998E-2,1.582282868E-1,2.539472070E-1,-4.465869427E-2,3.025223524E-1
8.592124999E-2,2.495264196E-1,3.507969788E-1,7.826498151E-2,4.375469823E-1
9.590324998E-2,4.176943883E-1,4.733388314E-1,1.780009389E-1,6.558983043E-1
1.058852500E-1,5.710914132E-1,5.873221144E-1,2.076083153E-1,8.450999236E-1
1.158672500E-1,6.584777588E-1,6.128121740E-1,3.054088444E-1,9.499506732E-1
1.258492500E-1,7.206696215E-1,6.080484474E-1,3.795152861E-1,1.016424847E0
1.358302500E-1,8.053106993E-1,5.558024061E-1,3.182581007E-1,1.028945993E0
1.458122500E-1,6.794429505E-1,4.296507749E-1,1.488660175E-1,8.175595406E-1
1.557942500E-1,2.811873382E-1,3.989955774E-1,-1.270483017E-2,4.882880325E-1
1.657762500E-1,2.467525005E-2,4.711171818E-1,-1.623286468E-1,4.989096677E-1
1.757582500E-1,1.065242824E-1,5.865710396E-1,-4.056464928E-1,7.210839648E-1
1.857402500E-1,9.319847792E-2,7.707904923E-1,-9.033515489E-1,1.191154046E0
1.957212500E-1,-6.531339884E-4,7.407764420E-1,-1.007237275E0,1.250310798E0
2.057032500E-1,2.900894317E-1,3.834566018E-1,-5.159086078E-1,7.052322564E-1
2.156852500E-1,4.938511562E-1,1.560040060E-1,-3.950256103E-1,6.513612264E-1
2.256672500E-1,5.241400257E-1,1.598155135E-1,-4.964040506E-1,7.393786218E-1
2.356492500E-1,5.877697188E-1,2.730249175E-1,-5.894081086E-1,8.760238389E-1
2.456302500E-1,1.781997442E-1,4.411996105E-1,-9.797845978E-1,1.089215361E0
2.556122500E-1,-8.743417579E-1,9.109280786E-1,-1.591878734E0,2.031832025E0
2.655942500E-1,-4.762513295E-1,8.107632279E-1,-1.930160624E0,2.147014759E0
2.755762500E-1,5.924281955E-2,5.203428438E-1,-1.999967024E0,2.067397998E0
2.855582500E-1,1.369122621E-1,2.845705372E-1,-2.232078096E0,2.254306542E0
2.955392500E-1,2.542310894E-1,2.850617033E-1,-2.097195110E0,2.131694385E0
3.055212500E-1,2.102837089E-1,4.050638178E-1,-2.134155945E0,2.182410945E0
3.155032500E-1,1.554912052E-1,4.019431588E-1,-2.027722587E0,2.073015848E0
3.254852500E-1,5.106268179E-1,4.031488547E-1,-1.728601838E0,1.846979443E0
3.354672500E-1,9.481602243E-1,2.080366239E-1,-1.147228974E0,1.502804500E0
3.454492500E-1,9.961284426E-1,-9.413958728E-2,-5.582319242E-1,1.145756090E0
3.554302500E-1,5.892034560E-1,-1.612629917E-1,1.971330285E-2,6.111915243E-1
3.654122500E-1,1.103609329E-1,-2.730950841E-1,1.415534896E-1,3.267994047E-1
3.753942500E-1,9.095753253E-2,-6.773674813E-1,-9.102126718E-2,6.894815795E-1
3.853762500E-1,3.557919627E-1,-1.399126001E0,-2.453304577E-1,1.464352594E0
3.953582500E-1,2.726047951E-1,-2.208850324E0,-1.763689810E-1,2.232585754E0
4.053392500E-1,2.856014013E-2,-2.849346433E0,-9.778064847E-2,2.851166750E0
4.153212500E-1,-4.676594308E-1,-2.979991942E0,7.680376232E-2,3.017441985E0
4.253032500E-1,-7.753814337E-1,-2.309975434E0,1.484859484E-1,2.441157707E0
4.352852500E-1,-9.235297054E-2,-1.467097251E0,3.146415979E-1,1.503297293E0
4.452672500E-1,7.308043081E-1,-8.614578567E-1,9.179561394E-1,1.455619473E0
4.552482500E-1,1.519268887E0,-1.018269509E0,1.700250444E0,2.497178871E0
4.652302500E-1,1.882673047E0,-1.010801007E0,2.104339238E0,2.999069874E0
4.752122500E-1,1.442806602E0,-1.016881088E0,2.221084746E0,2.837068115E0
4.851942500E-1,1.087327465E0,-1.187855428E0,1.873387669E0,2.470397314E0
4.951762500E-1,9.962515265E-1,-1.277128670E0,1.360123172E0,2.115067324E0
5.051582500E-1,1.139467672E0,-1.158168237E0,1.206226210E0,2.023541922E0
5.151392500E-1,1.314145346E0,-9.225681308E-1,1.154608744E0,1.977683316E0
