"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.832041665E-2,-2.825520784E-3,3.572344708E-1,5.257272524E-1,6.356206373E-1
2.834341666E-2,1.838466927E-1,1.563065994E-1,3.496822071E-1,4.248635139E-1
3.836641667E-2,3.582498398E-1,1.334428167E-1,4.596788585E-1,5.978750589E-1
4.839041666E-2,6.013126011E-1,9.951961040E-2,3.540676188E-1,7.048722408E-1
5.841341667E-2,8.017411204E-1,5.871773958E-2,3.999495506E-4,8.038885227E-1
6.843741666E-2,9.206452739E-1,4.372080088E-2,-1.511826843E-1,9.339996964E-1
7.846041667E-2,8.605123620E-1,-4.275717974E-2,3.774202287E-2,8.624002330E-1
8.848341665E-2,7.309870335E-1,-3.333906949E-2,-6.011048788E-1,9.469850115E-1
9.850741667E-2,6.895808530E-1,1.358565474E-1,-9.297295082E-1,1.165493763E0
1.085304166E-1,5.870758004E-1,8.933025241E-2,-1.052086004E0,1.208107135E0
1.185544167E-1,4.766160496E-1,-1.641506392E-1,-1.107004223E0,1.216374383E0
1.285774166E-1,3.497702077E-1,-3.204876441E-1,-1.341683977E0,1.423083772E0
1.386004167E-1,2.378699952E-1,-2.543544656E-1,-1.562232766E0,1.600577878E0
1.486244167E-1,1.627022839E-1,-2.922993869E-1,-1.670810882E0,1.703971822E0
1.586474167E-1,1.828702808E-1,-4.237991738E-1,-1.835809368E0,1.892945671E0
1.686704167E-1,2.465550839E-1,-5.835190853E-1,-1.958010328E0,2.057933035E0
1.786944167E-1,2.053148912E-1,-7.672166741E-1,-2.127555023E0,2.270961472E0
1.887174167E-1,6.795765594E-2,-8.506400692E-1,-2.316208420E0,2.468406007E0
1.987414167E-1,2.307420932E-2,-8.041067576E-1,-2.458428492E0,2.586694947E0
2.087644167E-1,2.290409189E-1,-8.607873273E-1,-2.715412450E0,2.857775243E0
2.187874167E-1,1.650463595E-1,-7.891685835E-1,-2.993952169E0,3.100609125E0
2.288114167E-1,2.787019792E-1,-1.110118158E0,-2.720012455E0,2.951017599E0
2.388344167E-1,3.162818880E-1,-1.321328358E0,-2.024069247E0,2.437785712E0
2.488584167E-1,-1.652964011E-1,-8.948321557E-1,-1.733425791E0,1.957756997E0
2.588814167E-1,-5.403504078E-1,-6.493090323E-1,-7.026324230E-1,1.098759803E0
2.689044166E-1,-7.914908782E-1,-7.279075974E-1,1.949114374E0,2.226062471E0
2.789284167E-1,-1.598638992E0,-1.299900359E-1,4.157111297E0,4.455796043E0
2.889514167E-1,-1.402003562E0,6.491151971E-1,4.674111580E0,4.922832883E0
