"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
6.787500024E-3,2.526587731E-1,3.798433149E-1,-1.530672419E0,1.597208644E0
1.681150001E-2,3.577045870E-1,2.103193769E-1,-1.271469442E0,1.337468263E0
2.683450002E-2,3.666078499E-1,-6.047073483E-2,-7.937513387E-1,8.764126957E-1
3.685850001E-2,2.871564683E-1,-3.328837413E-1,-5.000889659E-2,4.424605205E-1
4.688250000E-2,1.029756072E-1,-5.712182978E-1,8.615205681E-1,1.038803162E0
5.690650002E-2,-1.052013499E-1,-7.200232118E-1,1.424042594E0,1.599186687E0
6.693050000E-2,-1.035588670E-1,-8.063874641E-1,1.437393542E0,1.651388923E0
7.695450002E-2,1.963261127E-2,-7.885274363E-1,1.113067201E0,1.364213895E0
8.697850001E-2,7.633803159E-2,-6.433939889E-1,7.334256148E-1,9.786196669E-1
9.700150002E-2,1.221535975E-1,-4.291376817E-1,3.242427260E-1,5.515559778E-1
1.070255000E-1,1.709322399E-1,-2.344382644E-1,-1.517527878E-2,2.905329921E-1
1.170495000E-1,1.752314052E-1,-1.230768728E-1,-1.127465969E-1,2.420036304E-1
1.270735000E-1,1.578233671E-1,-4.942125142E-2,-9.083707988E-2,1.886850561E-1
1.370975000E-1,1.284794077E-1,-2.319385797E-2,3.983298719E-2,1.364975462E-1
1.471215000E-1,5.720272601E-2,-5.633032143E-2,2.730848515E-1,2.846411655E-1
1.571455000E-1,4.790419132E-2,-9.539030671E-2,4.750839329E-1,4.869279879E-1
1.671688750E-1,1.341395125E-1,-1.048528558E-1,5.322316951E-1,5.588005972E-1
1.771918750E-1,1.678911030E-1,-6.587326974E-2,4.574539930E-1,4.917223463E-1
1.872158750E-1,1.377612779E-1,-1.458938777E-2,3.486536819E-1,3.751671758E-1
1.972398750E-1,1.230072910E-1,1.172778967E-1,1.695300776E-1,2.400527981E-1
2.072638750E-1,1.069370958E-1,2.173407134E-1,-2.915246308E-2,2.439721178E-1
2.172878750E-1,7.349979311E-2,2.564419216E-1,-2.416730243E-1,3.599590663E-1
2.273118750E-1,6.121947080E-2,2.239992303E-1,-3.652679604E-1,4.328327179E-1
2.373358750E-1,6.133553803E-2,1.056904694E-1,-3.204163080E-1,3.429273014E-1
2.473598750E-1,7.586528420E-2,-5.736089319E-2,-1.836604589E-1,2.068259597E-1
2.573828750E-1,1.107667297E-1,-1.726329026E-1,-3.370802879E-2,2.078644238E-1
2.674068750E-1,1.324812421E-1,-2.404591423E-1,6.487953544E-2,2.821014583E-1
2.774308750E-1,1.016415650E-1,-2.830894375E-1,1.007983965E-1,3.172238233E-1
2.874548750E-1,9.213194579E-2,-2.557270995E-1,6.333060801E-2,2.790974933E-1
2.974788750E-1,8.306759208E-2,-2.086058503E-1,-7.801355124E-3,2.246719537E-1
