"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.347280050E-1,3.483059406E-1,-1.523208618E-2,3.152899742E-1,4.700604350E-1
1.546805590E-1,3.093094826E-1,-3.894901276E-2,6.382875443E-1,7.103522864E-1
1.746307120E-1,2.138209343E-1,-1.801743507E-1,4.356145859E-1,5.176313901E-1
1.945499820E-1,6.989955902E-2,7.827281952E-3,8.067369461E-2,1.070301812E-1
2.145134400E-1,6.402730942E-2,1.924948692E-1,-1.061863899E-1,2.289744974E-1
2.344812940E-1,1.011905670E-1,6.068038940E-2,8.915901184E-3,1.183263868E-1
2.544314470E-1,1.127560139E-1,-5.179786682E-2,5.120706558E-2,1.342352459E-1
2.743812740E-1,5.949012041E-1,1.741981506E-1,2.196125984E-1,6.576337368E-1
2.943313460E-1,7.053024769E-1,3.724384308E-1,1.791267395E-1,8.174645909E-1
3.142811740E-1,2.998530865E-1,4.395651817E-1,-3.430166245E-1,6.330796373E-1
3.342315710E-1,-7.224106789E-1,6.096224785E-1,-6.618981361E-1,1.153960960E0
3.541821310E-1,-2.092643499E0,6.831707954E-1,-5.166730881E-1,2.261156835E0
3.741317550E-1,-1.219658136E0,3.858394623E-1,-7.921600342E-2,1.281683750E0
3.940819490E-1,1.656503439E0,4.053721428E-1,-2.730016708E-1,1.727095866E0
4.140320610E-1,2.580516577E0,3.637237549E-1,-4.401178360E-1,2.642927256E0
4.339639850E-1,2.497700691E0,-8.464670181E-2,-3.503732681E-1,2.523575882E0
4.539204050E-1,1.841997147E0,-3.560914993E-1,7.720661163E-2,1.877688873E0
4.738523690E-1,6.893618107E-1,-2.416892052E-1,1.046800613E-1,7.379642899E-1
4.938331210E-1,1.554677486E-1,-2.843916416E-1,-2.224798203E-1,3.931235138E-1
5.137810370E-1,3.331189156E-1,-4.021871090E-1,-2.816762924E-1,5.933499947E-1
5.337146300E-1,-3.745830059E-1,-7.316875458E-1,-1.903057098E-2,8.222172800E-1
5.536647420E-1,-7.332174778E-1,-9.830648899E-1,5.680408478E-1,1.351552756E0
5.736167260E-1,-6.810624599E-1,-8.130800724E-1,1.061680794E0,1.500703630E0
5.935503590E-1,-2.345468998E-1,-7.190167904E-1,9.386873245E-1,1.205458953E0
6.135335530E-1,3.888752460E-1,-7.919490337E-1,8.993148804E-4,8.822743552E-1
6.334655180E-1,5.464166403E-1,-9.494223595E-1,-7.896118164E-1,1.350355798E0
6.534150600E-1,4.102410376E-1,-8.196232319E-1,-1.147705078E0,1.468777348E0
6.733672070E-1,1.384399652E0,8.280143738E-1,4.275894165E-2,1.613690964E0
6.933347760E-1,1.117579341E0,1.319834948E0,5.112562180E-1,1.803421967E0
7.132848470E-1,7.445133924E-1,9.626460075E-2,2.135868073E-1,7.805039328E-1
7.332303620E-1,5.007026792E-1,-6.253788471E-1,1.187810898E-1,8.098832154E-1
7.531680640E-1,1.641118526E-1,-4.617266655E-1,-6.220235825E-1,7.918570268E-1
7.731063350E-1,4.619540572E-1,7.711536884E-1,-9.055070877E-1,1.275939908E0
7.930855010E-1,7.293074131E-1,2.227038860E0,-2.239542007E-1,2.354091517E0
8.130354500E-1,1.443650365E0,2.329929352E0,3.621921539E-1,2.764756828E0
8.329836500E-1,1.623131514E0,1.225269079E0,8.155746460E-1,2.191118945E0
8.529360820E-1,1.212934256E0,2.757904530E-1,7.645998001E-1,1.460096824E0
8.728856250E-1,7.249100208E-1,4.818165302E-1,6.667671204E-1,1.096457979E0
8.928358190E-1,5.324839950E-1,1.752887964E-1,-2.484149933E-1,6.131683096E-1
9.127860120E-1,2.813767791E-1,1.866996288E-2,-2.986650467E-1,4.107581642E-1
9.327361250E-1,-6.592782140E-1,-1.133463621E0,-5.345458984E-1,1.416025021E0
9.526863590E-1,-1.396248341E0,-2.067859173E0,-2.487316132E-1,2.507472513E0
9.726176730E-1,3.705582023E-1,-9.679877758E-1,3.655184746E0,3.799301152E0
9.925866250E-1,-2.207016945E-2,1.302952766E0,-1.278591156E-1,1.309397173E0
1.012536778E0,-8.468103409E-2,3.182513237E0,-2.208432198E0,3.874626969E0
1.032486768E0,9.976470470E-1,2.444678307E0,-2.424364090E-1,2.651514108E0
1.052433300E0,9.070605636E-1,1.058609486E0,1.792075157E0,2.270450677E0
1.072387481E0,8.651028275E-1,-1.857948303E-1,2.384977341E0,2.543823802E0
1.092334796E0,1.267746687E-1,-6.632659435E-1,1.451513290E0,1.600901109E0
1.112287503E0,-7.727825642E-2,-7.564787865E-1,2.380371094E-2,7.607882097E-1
1.132228704E0,2.901130915E-1,-2.674725056E-1,-7.183589935E-1,8.196016048E-1
1.152169335E0,5.364844799E-1,-2.766609192E-1,-3.577842712E-1,7.016882827E-1
1.172128827E0,-1.702544689E-1,-4.900274277E-1,5.239133835E-1,7.372914603E-1
1.192088033E0,4.534043670E-1,-2.047018290E0,1.783569336E0,2.752631282E0
1.212047118E0,1.395828724E-1,-2.178917885E0,9.171028137E-1,2.368173156E0
1.231972287E0,3.288949728E-1,-1.652607918E0,-6.886291504E-2,1.686424304E0
1.251929114E0,1.159520507E0,-1.154091835E0,-4.426212311E-1,1.694794773E0
1.271888707E0,1.875249624E0,-8.726119995E-1,-3.176860809E-1,2.092591050E0
1.291839023E0,1.587797046E0,-8.077435493E-1,-3.599519730E-1,1.817447254E0
1.311789034E0,9.253824949E-1,-6.091856956E-1,-4.857625961E-1,1.209712889E0
1.331731903E0,1.203126073E0,-1.259518385E0,-1.141901970E0,2.082747949E0
1.351670765E0,1.675458431E0,-1.658332586E0,-2.131185532E0,3.177920655E0
1.371640795E0,1.023926973E0,-1.484110355E0,-3.018619061E0,3.516115901E0
1.391589891E0,2.620931268E-1,-8.303525448E-1,-3.689678192E0,3.791029322E0
1.411537948E0,3.208953440E-1,-4.851138592E-1,-3.536225796E0,3.583741363E0
1.431480614E0,5.733609796E-1,-6.462874413E-1,-2.860239506E0,2.987875550E0
1.451440350E0,4.592689574E-1,-5.577857494E-1,-1.915910721E0,2.047624675E0
1.471388387E0,-9.787560701E-1,-5.206768513E-1,9.529399872E-2,1.112721337E0
1.491321878E0,-1.339148521E0,-6.095249653E-1,2.203468323E0,2.649549414E0
1.511290830E0,5.698379278E-1,-9.738101959E-1,2.494144440E0,2.737476584E0
1.531240739E0,1.769142866E0,-5.652737617E-1,1.605303764E0,2.454872926E0
1.551190871E0,2.589782953E0,-2.494378090E-1,2.137714386E0,3.367345804E0
1.571141126E0,1.888220310E0,8.955693245E-2,3.117795944E0,3.646100374E0
1.591084911E0,1.778962851E0,-1.893074512E-1,3.879083633E0,4.271748585E0
1.611031646E0,1.979125857E0,-9.314589500E-1,3.511744499E0,4.137258073E0
1.630991240E0,1.740986824E0,-1.193734646E0,2.269438744E0,3.099417645E0
1.650941332E0,1.802078009E0,-6.354393959E-1,8.636941910E-1,2.096958758E0
1.670891770E0,2.050735950E0,9.914493561E-2,1.909446716E-1,2.061991155E0
1.690835900E0,1.747595668E0,2.443311214E-1,3.872385025E-1,1.806582955E0
1.710791872E0,1.009911656E0,-5.022287369E-2,7.485675812E-1,1.258092729E0
1.730723552E0,6.364635229E-1,-3.518402576E-1,4.068546295E-1,8.333115099E-1
1.750673441E0,1.683444023E0,-6.355998516E-1,6.205186844E-1,1.903421758E0
1.770624245E0,2.428854942E0,-4.100763798E-1,1.145896912E0,2.716722051E0
1.790574113E0,2.372374773E0,-1.057832241E-1,8.039417267E-1,2.507124738E0
1.810524470E0,1.713633418E0,-1.301841736E-1,-3.114652634E-1,1.746567497E0
1.830479180E0,9.363245964E-1,-1.842999458E-1,-2.074457169E0,2.283427854E0
1.850442781E0,1.228248239E0,-1.337742805E-1,-3.096427917E0,3.333819902E0
1.870393056E0,1.902777076E0,1.600658894E-1,-2.942618370E0,3.507874650E0
1.890343657E0,2.129913568E0,1.581091881E-1,-2.284196854E0,3.127152953E0
1.910283617E0,2.350422144E0,-2.685151100E-1,-2.398799896E0,3.369098627E0
1.930243292E0,1.548956513E0,-4.969377518E-1,-3.183962822E0,3.575448596E0
1.950193445E0,7.024133205E-1,-3.114001751E-1,-3.246130466E0,3.335823369E0
1.970143639E0,4.119361639E-1,1.986718178E-2,-2.553819180E0,2.586905199E0
1.990084495E0,5.840244293E-1,-1.970410347E-2,-2.181216240E0,2.258135751E0
2.010034831E0,3.583073020E-1,2.378389835E-1,-2.529550076E0,2.565847831E0
2.029990945E0,-8.491873145E-1,1.416289091E0,-1.795177460E0,2.439191669E0
2.049942441E0,-4.915555716E-1,2.477140188E0,8.136320114E-1,2.653271083E0
2.069894506E0,5.542083383E-1,1.848562717E0,1.532425880E0,2.464276787E0
2.089835118E0,1.011511683E0,7.956430912E-1,1.438507080E0,1.930157101E0
2.109796969E0,1.374649763E0,4.400587082E-2,2.193649292E0,2.589149610E0
2.129738170E0,1.416948557E0,-1.241505146E-1,3.357934952E0,3.646763456E0
2.149692332E0,9.066040516E-1,-2.641892433E-2,4.065266609E0,4.165215657E0
2.169645069E0,4.834777117E-1,-4.733290672E-1,3.683023453E0,3.744656574E0
2.189594265E0,2.473503351E-1,-2.756276131E-1,2.978365898E0,3.001302416E0
2.209545293E0,7.052127123E-1,4.052331448E-1,2.919122696E0,3.030316186E0
2.229486230E0,8.712888956E-1,2.454247475E-1,2.693970680E0,2.841980942E0
2.249446108E0,5.924729109E-1,-3.618905544E-1,2.428149223E0,2.525449975E0
2.269386109E0,4.637974501E-1,-1.001423836E0,2.358304024E0,2.603757985E0
2.289336364E0,7.282366753E-1,-1.393263817E0,2.363654137E0,2.838727461E0
2.309286639E0,8.306567669E-1,-1.331778407E0,1.446470261E0,2.134455576E0
2.329235755E0,9.698839188E-1,-1.154256821E0,3.173398972E-1,1.540677849E0
2.349195531E0,6.661705971E-1,-1.099766254E0,-4.809989929E-1,1.372817945E0
2.369135939E0,-5.940592289E-2,-1.089462280E0,-2.745761871E-1,1.125099643E0
2.389087089E0,-1.009542942E-1,-1.482330561E0,1.495599747E-1,1.493272864E0
2.409046845E0,9.452557564E-2,-2.600839853E0,-4.621934891E-1,2.643279374E0
2.428987069E0,-6.770154238E-1,-2.628542423E0,-1.797199249E0,3.255381744E0
2.448946947E0,-4.924477339E-1,-2.582074165E0,-2.709503174E0,3.775052214E0
2.468897141E0,2.941862345E-1,-2.435991526E0,-2.586129665E0,3.564921724E0
2.488837468E0,7.382267714E-1,-2.290750504E0,-1.706992626E0,2.950650854E0
2.508803857E0,6.185824871E-1,-2.577673197E0,-1.317383766E0,2.960159352E0
2.528737957E0,2.447719574E-1,-3.093636036E0,-1.109891891E0,3.295809043E0
2.548697572E0,-1.361314505E-1,-2.776075602E0,-1.170381546E0,3.015778586E0
2.568646789E0,-1.022815704E-3,-2.025199890E0,-1.173644066E0,2.340699903E0
2.588597817E0,-5.148871541E-1,-1.713104486E0,-1.682539940E0,2.455763916E0
2.608547930E0,-6.122210026E-1,-2.170973539E0,-2.151334763E0,3.117079069E0
2.628479548E0,2.561756372E-1,-2.991095304E0,-2.388717651E0,3.836437031E0
2.648439487E0,1.384298205E0,-2.491918564E0,-1.657591343E0,3.297506438E0
2.668372185E0,2.740643978E0,-1.009473085E0,6.340694427E-2,2.921332875E0
2.688349010E0,3.239689827E0,-3.648643494E-1,8.356018066E-1,3.365552933E0
2.708298573E0,3.480035305E0,-2.783339024E-1,9.281034470E-1,3.612407991E0
2.728235380E0,3.611507893E0,-2.077677250E-1,2.484146118E0,4.388295640E0
2.748198065E0,2.775244474E0,-3.988702297E-1,5.019825935E0,5.749759280E0
2.768146225E0,1.812412739E0,-4.966127872E-1,5.811221123E0,6.107516282E0
2.788099002E0,1.564545870E0,-2.147321701E-1,4.335534096E0,4.614192191E0
2.808049278E0,1.564464092E0,2.443133593E-1,2.419402122E0,2.891495036E0
2.827990113E0,1.656665683E0,4.104154110E-1,1.105365753E0,2.033424560E0
2.847930683E0,1.358981729E0,4.868243933E-1,1.620121002E-1,1.452610495E0
2.867889910E0,1.032845140E0,7.609465122E-1,-4.670066833E-1,1.365248666E0
2.887854366E0,5.948600173E-1,1.166220784E0,-9.925680161E-1,1.642900065E0
2.907799534E0,-3.867374957E-1,1.393859029E0,-1.143065453E0,1.843639746E0
2.927744825E0,-9.933611155E-1,1.048661113E0,-1.040938377E0,1.780451948E0
2.947689607E0,-8.950018287E-1,3.924974203E-1,-3.193759918E-1,1.028145672E0
2.967648081E0,-7.237973809E-1,-2.932333946E-2,-5.318803787E-1,8.986875120E-1
2.987600167E0,-7.709635496E-1,4.791371822E-1,-9.326381683E-1,1.301449648E0
3.007549344E0,-1.241850376E0,1.712896824E-1,-1.056688309E0,1.639549540E0
3.027500474E0,-1.306560040E0,-2.689380646E-1,-8.856897354E-1,1.601209895E0
3.047450566E0,-3.885728121E-1,1.801896095E-2,-7.087182999E-1,8.084523126E-1
3.067399579E0,-3.040875196E-1,2.566909790E-2,5.894756317E-2,3.108101308E-1
3.087351055E0,-9.488864541E-1,-1.617496014E-1,2.237639427E0,2.435893808E0
3.107300964E0,-2.528110743E-1,-6.410132647E-1,1.671280861E0,1.807758601E0
3.127251076E0,1.238950491E-1,-1.119370103E0,-2.416477203E-1,1.151838978E0
3.147200233E0,-8.946038485E-1,-1.218383431E0,-1.660902023E0,2.245744812E0
3.167150976E0,-1.121707439E0,-8.901634216E-1,-1.089063644E0,1.799077018E0
3.187101230E0,-3.013045788E-1,-1.613621712E-1,-2.589797974E-2,3.427723805E-1
3.207051037E0,-1.338438988E-1,-1.116528511E-1,-1.894378662E-2,1.753265965E-1
3.226994680E0,-2.094081640E-1,2.694334984E-1,8.259515762E-1,8.936678329E-1
3.246932179E0,-4.141938686E-1,2.103734016E-1,1.806634903E0,1.865406980E0
3.266891711E0,1.042163491E0,-4.932777882E-1,4.469866753E0,4.616182027E0
3.286852281E0,1.772620797E0,-7.959151268E-1,4.837903976E0,5.213538171E0
3.306802088E0,1.310973525E0,-1.272659659E0,4.036516190E0,4.430776133E0
3.326742333E0,9.143096805E-1,-1.811262608E0,1.740105629E0,2.672938837E0
