"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
7.175333340E-3,1.470541992E0,5.581892395E0,5.728886719E0,8.132660050E0
1.719933334E-2,1.654659119E0,5.808820496E0,6.042035522E0,8.543212838E0
2.722433334E-2,1.525926819E0,5.610333252E0,6.617289276E0,8.808678063E0
3.724833333E-2,1.130149841E0,5.479355621E0,7.302414551E0,9.199230129E0
4.727333334E-2,7.827223206E-1,5.629194031E0,7.958649902E0,9.779600602E0
5.729733333E-2,5.786965942E-1,5.898933105E0,8.476273499E0,1.034309015E1
6.732233334E-2,5.233117676E-1,5.988297272E0,8.673413544E0,1.055280351E1
7.734633334E-2,5.751040649E-1,5.950875092E0,8.440048828E0,1.034302099E1
8.737133333E-2,8.116122437E-1,5.903124390E0,8.029452667E0,9.998885044E0
9.739533334E-2,1.086590424E0,5.941594391E0,7.863597565E0,9.915613411E0
1.074203333E-1,1.299597473E0,5.990991669E0,7.812553711E0,9.930605734E0
1.174443333E-1,1.220561829E0,5.898484039E0,7.721393280E0,9.792946407E0
1.274693333E-1,9.325607300E-1,5.578000488E0,7.328610077E0,9.257012727E0
1.374933333E-1,7.544311523E-1,5.335055695E0,6.897356873E0,8.752457795E0
1.475183333E-1,7.467970276E-1,5.194198608E0,6.561156006E0,8.401557779E0
1.575423333E-1,8.622070313E-1,5.034031677E0,6.611002350E0,8.354054582E0
1.675673333E-1,8.556207275E-1,4.846471710E0,6.527925110E0,8.175217496E0
1.775913333E-1,6.357279968E-1,4.813839569E0,6.519392853E0,8.128941177E0
1.876163333E-1,5.131329346E-1,5.015320587E0,6.755601654E0,8.429406842E0
1.976403333E-1,6.273454285E-1,5.088668060E0,7.002138977E0,8.678597535E0
2.076653333E-1,8.707392883E-1,5.097799072E0,7.225474548E0,8.885562714E0
2.176893333E-1,1.108295288E0,5.176385651E0,7.421267395E0,9.115837679E0
2.277143333E-1,1.155746613E0,5.210065613E0,7.540569305E0,9.238004079E0
2.377383333E-1,1.007405090E0,5.317691803E0,7.475454712E0,9.229037560E0
2.477633333E-1,8.741821289E-1,5.546715546E0,7.184459839E0,9.118481832E0
2.577883333E-1,7.577243042E-1,5.649551697E0,6.818021851E0,8.886900610E0
2.678123333E-1,5.854325867E-1,5.649551697E0,6.792574768E0,8.854334400E0
2.778373333E-1,5.054988098E-1,5.605094147E0,6.952292633E0,8.944662224E0
2.878613333E-1,2.881507874E-1,5.691614227E0,7.156018982E0,9.148011317E0
2.978863333E-1,4.026626587E-1,5.744005280E0,7.765850830E0,9.667687054E0
3.079103333E-1,7.685018921E-1,5.671705627E0,8.128845978E0,9.941678772E0
3.179353333E-1,5.008584595E-1,5.761818237E0,7.984246674E0,9.858884498E0
3.279593333E-1,4.980143738E-1,5.634882202E0,7.569608917E0,9.449809252E0
3.379843333E-1,5.644761658E-1,5.472769318E0,7.221582642E0,9.078606347E0
3.480083333E-1,6.435118103E-1,4.908293152E0,7.395670624E0,8.899516453E0
3.580333333E-1,9.373507690E-1,4.298311615E0,8.423134003E0,9.502804619E0
3.680573333E-1,1.326990509E0,4.690046997E0,9.967322845E0,1.109526788E1
3.780823333E-1,1.870959320E0,5.438939667E0,1.133936966E1,1.271471029E1
3.881063333E-1,2.079176331E0,6.042035522E0,1.213286957E1,1.371261067E1
3.981313333E-1,1.905687103E0,5.874384155E0,1.093850327E1,1.256148424E1
4.081553333E-1,2.577639771E0,5.310207367E0,1.112202164E1,1.259134204E1
4.181803333E-1,3.025209045E0,4.848866730E0,1.039812698E1,1.186526203E1
4.282043333E-1,2.984344025E0,4.540358276E0,9.529034271E0,1.096921404E1
4.382293333E-1,2.489323425E0,4.145778809E0,8.429271240E0,9.717861220E0
4.482533333E-1,1.530118103E0,4.278552704E0,8.369994507E0,9.523869103E0
4.582783333E-1,5.086422729E-1,5.021158447E0,9.138346710E0,1.043935485E1
4.683023333E-1,-3.427871704E-1,6.100114746E0,9.660011902E0,1.142999269E1
4.783273333E-1,-6.809339905E-1,6.560108185E0,9.081165619E0,1.122346914E1
4.883513333E-1,-9.096583557E-1,6.711742859E0,8.566835175E0,1.092088071E1
4.983763333E-1,-7.090754700E-1,6.582262115E0,8.217461700E0,1.055251815E1
5.084003333E-1,-4.490661621E-3,6.504274292E0,7.606132965E0,1.000793999E1
5.184253333E-1,9.958790588E-1,6.789730682E0,7.016060028E0,9.814138585E0
5.284493333E-1,2.292033691E0,6.835984497E0,6.444997559E0,9.670682293E0
5.384743333E-1,2.729424133E0,6.856940918E0,7.385491791E0,1.044092351E1
5.484983333E-1,2.059118042E0,7.046297150E0,6.932384033E0,1.009694107E1
5.585233333E-1,1.247356110E0,6.929689636E0,7.488627319E0,1.027891214E1
5.685473333E-1,7.629634094E-1,6.412066040E0,9.317673798E0,1.133647869E1
5.785723333E-1,9.372010803E-1,5.859714661E0,9.008566589E0,1.078744056E1
5.885963333E-1,1.409768372E0,5.315296783E0,8.013585663E0,9.718918764E0
5.986213333E-1,1.917662201E0,4.825964355E0,7.664511566E0,9.258082837E0
6.086460833E-1,2.147584076E0,4.797822876E0,7.674241333E0,9.301892375E0
6.186710833E-1,2.037263489E0,5.166805573E0,7.601043549E0,9.413935701E0
6.286950833E-1,2.170037384E0,5.175188141E0,7.573351135E0,9.425883617E0
6.387200833E-1,2.115401001E0,4.946912842E0,8.047415314E0,9.680276922E0
6.487440833E-1,1.960622864E0,4.593048706E0,7.578889618E0,9.076326695E0
6.587690833E-1,1.640139313E0,4.269571381E0,7.635771332E0,8.900803367E0
6.687930833E-1,1.312620392E0,4.481829987E0,7.905360718E0,9.181748221E0
6.788180833E-1,9.556127930E-1,4.994962921E0,7.538623352E0,9.093607229E0
6.888430833E-1,6.349795532E-1,5.366041260E0,7.539371796E0,9.275760072E0
6.988670833E-1,3.802093506E-1,5.568121033E0,7.853418732E0,9.634558462E0
7.088920833E-1,3.785627747E-1,5.623505859E0,7.807164917E0,9.629068074E0
7.189160833E-1,8.099656677E-1,5.662125549E0,7.573650513E0,9.490832008E0
7.289410833E-1,1.364562378E0,5.688470764E0,7.433092804E0,9.458942792E0
7.389650833E-1,1.854194183E0,5.538632355E0,7.307503967E0,9.354897042E0
7.489900833E-1,2.176174622E0,5.298681335E0,7.209008789E0,9.207690677E0
7.590140833E-1,2.194286957E0,5.036127319E0,7.198680267E0,9.055300725E0
7.690390833E-1,2.074835358E0,4.919819183E0,7.342231750E0,9.078432113E0
7.790630833E-1,2.098785553E0,4.874164124E0,7.737260284E0,9.382301072E0
7.890880833E-1,2.411485291E0,4.603826294E0,8.125552826E0,9.645469744E0
7.991120833E-1,2.752925262E0,4.297862549E0,8.252788239E0,9.703542327E0
8.091370833E-1,3.177143097E0,3.995491333E0,8.334667969E0,9.773683001E0
8.191610833E-1,3.111130371E0,3.896247711E0,8.591234436E0,9.933236509E0
8.291860833E-1,2.799029388E0,3.883524170E0,8.617579651E0,9.857941191E0
8.392100833E-1,2.742147675E0,3.790417786E0,8.225095825E0,9.462496615E0
8.492350833E-1,2.788850555E0,3.586092682E0,7.799979858E0,9.026485137E0
8.592590833E-1,2.885998535E0,3.325334930E0,7.206314392E0,8.444987097E0
8.692840833E-1,2.970123596E0,3.233426056E0,6.462211761E0,7.812608981E0
8.793080833E-1,2.844235382E0,3.707041168E0,6.002218323E0,7.606474474E0
8.893330833E-1,2.728076935E0,4.132007446E0,5.797743530E0,7.624284841E0
8.993570833E-1,2.480342102E0,4.152365112E0,6.118825836E0,7.799632208E0
9.093820833E-1,2.436632996E0,3.685935059E0,6.470444641E0,7.835173991E0
9.194060833E-1,2.584525452E0,2.650987244E0,6.924001465E0,7.851706914E0
9.294310833E-1,2.232906647E0,1.681453400E0,7.246730347E0,7.767126775E0
9.394550833E-1,1.498833160E0,1.130000153E0,7.326664124E0,7.563293487E0
9.494800833E-1,1.173709259E0,1.052910461E0,7.549999695E0,7.712892405E0
9.595040833E-1,1.235979767E0,1.428629150E0,8.132737885E0,8.349254621E0
9.695290833E-1,1.131946106E0,2.292931824E0,8.333320770E0,8.716827026E0
9.795530833E-1,1.046773224E0,2.549348602E0,8.910221100E0,9.326679609E0
9.895780833E-1,1.255139923E0,2.963537292E0,9.112600250E0,9.664233691E0
9.996020833E-1,1.206042023E0,4.044738922E0,9.384285278E0,1.028976484E1
1.009627083E0,1.077459412E0,3.770658875E0,8.923393707E0,9.747088919E0
1.019651083E0,8.882528687E-1,3.508553925E0,8.492888947E0,9.231906978E0
1.029676083E0,5.174739075E-1,3.210523682E0,8.835975494E0,9.415397203E0
1.039700083E0,2.570155334E-1,2.889890442E0,8.913364563E0,9.373664789E0
1.049725083E0,-5.089416504E-3,3.139271851E0,8.476872253E0,9.039492068E0
1.059749083E0,-2.206411743E-1,3.817661133E0,7.992180176E0,8.859918906E0
1.069774083E0,-3.095562744E-1,4.227059784E0,6.788832550E0,8.003256018E0
1.079798083E0,5.613327026E-2,4.449347534E0,6.001320190E0,7.470989791E0
1.089823083E0,5.769003296E-1,4.628674622E0,5.986351318E0,7.589060867E0
1.099847083E0,5.104385376E-1,4.655169525E0,6.983727264E0,8.408543115E0
1.109872083E0,4.266128540E-2,5.457351379E0,8.409811707E0,1.002543949E1
1.119896083E0,-5.785469055E-1,6.612499237E0,8.825048218E0,1.104270523E1
1.129921083E0,-5.974076843E-1,7.371121674E0,8.581354980E0,1.132828248E1
1.139945083E0,6.197113037E-2,6.949149170E0,8.968300323E0,1.134570074E1
1.149970083E0,1.282832336E-1,6.177204437E0,1.040381516E1,1.210015211E1
1.159994083E0,8.307723999E-2,5.215454407E0,1.145298340E1,1.258485976E1
1.170019083E0,6.472540283E-1,4.333189087E0,1.266067200E1,1.339731618E1
1.180044083E0,1.071920929E0,4.318369904E0,1.365056351E1,1.435740983E1
1.190068083E0,9.550140381E-1,4.721631317E0,1.359607681E1,1.442425592E1
1.200093083E0,6.402186584E-1,4.988975372E0,1.279284714E1,1.374615194E1
1.210117083E0,3.655398560E-1,5.053042145E0,1.213047455E1,1.314592207E1
1.220142083E0,2.210902405E-1,4.976102142E0,1.150522476E1,1.253717154E1
1.230166083E0,6.637197876E-1,4.863087158E0,1.025667114E1,1.137055160E1
1.240191083E0,1.096320190E0,4.475243683E0,1.025517426E1,1.124270088E1
1.250215083E0,7.680528259E-1,3.988006897E0,1.011491592E1,1.089979946E1
1.260240083E0,1.051263885E0,3.655398560E0,1.044378204E1,1.111484043E1
1.270264083E0,1.666185150E0,3.838916931E0,1.008213409E1,1.091617534E1
1.280289083E0,2.438878326E0,4.070335693E0,9.670340424E0,1.077177999E1
1.290313083E0,2.791544952E0,3.794758759E0,9.502539368E0,1.060618554E1
1.300338083E0,2.806364136E0,3.489244080E0,8.734636230E0,9.815517001E0
1.310362083E0,2.723137207E0,3.476969604E0,7.940238190E0,9.085822824E0
1.320387083E0,2.757565613E0,3.417842560E0,7.531587982E0,8.718407733E0
1.330411083E0,3.036884766E0,3.114573212E0,7.466323700E0,8.641135629E0
1.340436083E0,3.350482635E0,2.987038422E0,7.077881470E0,8.381201496E0
1.350460083E0,3.929628296E0,3.284769287E0,6.217919769E0,8.055694512E0
1.360485083E0,4.630770264E0,3.739074554E0,5.542374573E0,8.132811793E0
1.370509083E0,4.988077240E0,3.704197083E0,5.289400635E0,8.159641515E0
1.380534083E0,5.039719849E0,3.177592163E0,4.980742493E0,7.765543374E0
1.390558083E0,4.713697815E0,2.267335052E0,4.970114594E0,7.215385950E0
1.400583083E0,4.113895111E0,1.346450043E0,5.602100372E0,7.079589627E0
1.410607083E0,2.973117371E0,9.879455566E-1,6.084397430E0,6.843636125E0
1.420632083E0,1.344653778E0,9.776170349E-1,6.175707550E0,6.395560382E0
1.430656083E0,5.108876038E-1,5.385800171E-1,5.805527344E0,5.852796111E0
1.440681083E0,3.290158081E-1,-3.924838257E-1,6.212980042E0,6.234052931E0
