"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
5.520625004E-3,-2.406994629E0,3.766168213E0,8.687484283E0,9.769853086E0
1.554462500E-2,-2.503843231E0,3.796405334E0,8.420589294E0,9.570174944E0
2.556862500E-2,-2.763403473E0,3.641477509E0,8.238567810E0,9.421823431E0
3.559262500E-2,-2.970422974E0,3.987258453E0,8.562194824E0,9.901152601E0
4.561662500E-2,-2.832110596E0,4.070485382E0,8.735833740E0,1.004512284E1
5.564062500E-2,-2.384092255E0,3.663481750E0,9.018745422E0,1.002211372E1
6.566462500E-2,-1.838027802E0,3.346590729E0,9.304201813E0,1.005714607E1
7.568962500E-2,-1.302890625E0,3.184328156E0,9.494456177E0,1.009862208E1
8.571362501E-2,-1.000369720E0,3.100951538E0,9.690249023E0,1.022338330E1
9.573762500E-2,-7.705975342E-1,3.156336365E0,9.966574402E0,1.048278995E1
1.057616250E-1,-5.948629761E-1,3.010689240E0,9.943672028E0,1.040647515E1
1.157856250E-1,-5.128335571E-1,2.853366394E0,1.018721558E1,1.059169766E1
1.258096250E-1,-4.448748779E-1,2.832859039E0,1.040845551E1,1.079624703E1
1.358336250E-1,-2.923420715E-1,2.764600983E0,1.066397415E1,1.102038235E1
1.458576250E-1,-3.385958862E-1,2.481090546E0,1.130449219E1,1.157851463E1
1.558826250E-1,1.191522217E-1,2.370320892E0,1.037058426E1,1.063868583E1
1.659066250E-1,4.954696655E-1,2.274969177E0,9.944420471E0,1.021334781E1
1.759306250E-1,5.530998230E-1,2.205962677E0,1.064107178E1,1.088138775E1
1.859546250E-1,1.019679565E0,2.084864502E0,1.129386429E1,1.152986457E1
1.959786250E-1,1.508712616E0,1.842518463E0,1.128203888E1,1.153063265E1
2.060026250E-1,1.942360840E0,1.606010284E0,1.125793900E1,1.153660371E1
2.160266250E-1,2.176473999E0,1.576970673E0,1.135882919E1,1.167248372E1
2.260506250E-1,2.156864777E0,1.807940369E0,1.166194885E1,1.199673977E1
2.360756250E-1,2.148781586E0,1.301094360E0,1.240440491E1,1.265619887E1
2.460996250E-1,1.796114960E0,8.768765259E-1,1.210502747E1,1.226892951E1
2.561236250E-1,1.480122070E0,8.143066406E-1,1.147813110E1,1.160178220E1
2.661476250E-1,1.229692841E0,9.274713135E-1,1.100376755E1,1.111104170E1
2.761716250E-1,1.057101746E0,6.801855469E-1,1.117276611E1,1.124325661E1
2.861956250E-1,9.002279663E-1,-6.069877625E-1,1.148875900E1,1.153994922E1
2.962196250E-1,3.697311401E-1,-9.595046997E-1,1.099358871E1,1.104157340E1
3.062446250E-1,-1.526824951E-1,9.011260986E-2,9.718540192E0,9.720157184E0
3.162686250E-1,-7.297325134E-1,1.854942627E0,8.624615021E0,8.851966219E0
3.262926250E-1,-1.668580170E0,2.670895844E0,8.776249695E0,9.324183776E0
3.363166250E-1,-2.543660431E0,2.864742737E0,9.069190521E0,9.845160032E0
3.463406250E-1,-2.774929504E0,1.874701538E0,9.385183411E0,9.964758264E0
3.563646250E-1,-4.026925964E0,-4.842430115E-1,1.181942139E1,1.249597319E1
3.663886250E-1,-5.055886230E0,-6.988966370E-1,1.660212570E1,1.736896715E1
3.764126250E-1,-3.982169037E0,1.221909027E0,1.419303543E1,1.479165260E1
3.864376250E-1,-2.456242218E0,2.007774811E0,1.025277924E1,1.073237008E1
3.964616250E-1,-1.733694763E0,1.846709747E0,8.609496460E0,8.974378180E0
4.064856250E-1,-1.886227570E0,1.679956512E0,5.428461456E0,5.987345164E0
4.165096250E-1,-1.311722260E0,2.069895630E0,-1.746867371E0,3.009423336E0
4.265336250E-1,5.989045715E-1,4.578977966E-1,-3.692521362E0,3.768696205E0
4.365576250E-1,3.208278351E0,9.470805359E-1,-2.992726593E0,4.488476799E0
4.465816250E-1,4.787943420E0,2.766996002E0,6.713539124E-1,5.570582119E0
4.566056250E-1,5.092410278E0,5.092110901E0,5.203628998E0,8.884817984E0
4.666306250E-1,4.523293762E0,6.158044281E0,8.471034393E0,1.140789724E1
4.766546250E-1,3.342698822E0,5.696404266E0,9.439969482E0,1.152109721E1
4.866786250E-1,2.296823730E0,4.806504822E0,9.931547241E0,1.127002744E1
4.967026250E-1,1.967209167E0,3.794010315E0,1.022104523E1,1.107854646E1
5.067266250E-1,2.365530853E0,2.870580597E0,1.077504318E1,1.139901420E1
5.167470417E-1,2.411934357E0,2.341730347E0,1.319281540E1,1.361438601E1
5.267710417E-1,2.445165253E0,2.104024658E0,1.348949844E1,1.386983494E1
5.367950417E-1,2.818638611E0,1.942360840E0,1.052790710E1,1.107042534E1
5.468200417E-1,2.690355377E0,1.842518463E0,9.591155090E0,1.013030811E1
5.568440417E-1,1.939816132E0,1.965562592E0,1.053464310E1,1.089059356E1
5.668680417E-1,1.403631134E0,2.296823730E0,1.082399139E1,1.115367067E1
5.768920417E-1,1.409019928E0,2.673141174E0,1.020038818E1,1.063855911E1
5.869160417E-1,1.673669586E0,2.828069000E0,9.668544159E0,1.021175256E1
5.969400417E-1,1.941313019E0,2.836301880E0,9.258097687E0,9.875508968E0
6.069640417E-1,2.131118317E0,2.803819427E0,9.040150909E0,9.701927495E0
6.169880417E-1,2.265688477E0,2.757415924E0,8.923842773E0,9.611017464E0
6.270130417E-1,2.415826263E0,2.755919037E0,8.862021332E0,9.589928486E0
6.370370417E-1,2.476599884E0,2.751278687E0,8.930429077E0,9.667245983E0
6.470610417E-1,2.436034241E0,2.703228607E0,9.104666748E0,9.804930613E0
6.570850417E-1,2.320175171E0,2.608924713E0,9.291627960E0,9.925928225E0
6.671090417E-1,2.266586609E0,2.468516693E0,9.341324615E0,9.924280079E0
6.771330417E-1,2.304308167E0,2.398911438E0,9.274264069E0,9.852745111E0
6.871570417E-1,2.290836182E0,2.379601593E0,9.189390564E0,9.765005535E0
6.971810417E-1,2.175725555E0,2.409389648E0,9.147627411E0,9.706597108E0
7.072060417E-1,2.029928741E0,2.503693542E0,9.084608459E0,9.639460717E0
7.172300417E-1,1.910177765E0,2.553839264E0,9.060508575E0,9.605398988E0
7.272540417E-1,1.908830566E0,2.492466888E0,8.970845032E0,9.504319329E0
7.372780417E-1,1.879790955E0,2.405048676E0,8.868457947E0,9.379094813E0
7.473020417E-1,1.831441498E0,2.382894745E0,8.881780243E0,9.376480449E0
7.573260417E-1,1.779499512E0,2.325414276E0,8.801547089E0,9.275850431E0
7.673500417E-1,1.692530365E0,2.338137817E0,8.684340820E0,9.151465619E0
7.773740417E-1,1.672322388E0,2.315684509E0,8.719367981E0,9.175316610E0
7.873990417E-1,1.682201843E0,2.241738281E0,8.754844208E0,9.192523629E0
