"time","x","y","z","abs"
7.138308900E-2,-6.097707748E-1,-1.112553835E0,-3.023972511E-1,1.304239445E0
7.637256800E-2,-4.507067204E-1,-1.062740326E0,-3.712148666E-1,1.212581554E0
8.136314100E-2,-3.384335041E-1,-9.989907742E-1,-4.732966423E-1,1.156083697E0
8.635475600E-2,-3.140444756E-1,-9.648737907E-1,-5.263657570E-1,1.143095042E0
9.134730800E-2,-2.567701340E-1,-9.115574360E-1,-4.263744354E-1,1.038587031E0
9.634069300E-2,-1.027386189E-1,-8.499479294E-1,-1.672096252E-1,8.723105899E-1
1.013347560E-1,7.311463356E-2,-8.153824806E-1,1.917390823E-1,8.408080727E-1
1.063292870E-1,2.096726894E-1,-8.079369068E-1,4.629240036E-1,9.544754136E-1
1.113240790E-1,2.890670300E-1,-8.009274006E-1,5.808820724E-1,1.030761093E0
1.163189740E-1,3.206133842E-1,-8.005182743E-1,6.423692703E-1,1.075295647E0
1.213118390E-1,3.510386944E-1,-7.989571095E-1,6.181735992E-1,1.069438744E0
1.263019950E-1,3.512473106E-1,-7.796080112E-1,3.434648514E-1,9.214832763E-1
1.312920990E-1,3.401949406E-1,-7.421410084E-1,-1.258096695E-1,8.260350760E-1
1.362822040E-1,2.988648415E-1,-7.501475811E-1,-6.525444984E-1,1.038198396E0
1.412723080E-1,2.182047367E-1,-8.074972630E-1,-9.888577461E-1,1.295185230E0
1.462624120E-1,1.589257717E-1,-8.983004093E-1,-1.045050621E0,1.387202879E0
1.512525160E-1,8.559274673E-2,-9.893972874E-1,-9.128365517E-1,1.348889796E0
1.562426200E-1,2.849006653E-2,-1.049271941E0,-6.424436569E-1,1.230657200E0
1.612327240E-1,3.085875511E-2,-1.153563023E0,-3.624792099E-1,1.209566487E0
1.662228290E-1,2.078776360E-1,-1.438128948E0,-6.367177963E-1,1.586454391E0
1.712129330E-1,7.910490036E-3,-1.591923833E0,8.260536194E-2,1.594085227E0
1.762030370E-1,7.306647301E-2,-1.333970785E0,5.190382004E-1,1.433254136E0
1.811931410E-1,1.285450459E-1,-1.194972634E0,4.098830223E-1,1.269837595E0
1.861832450E-1,1.124694347E-1,-1.382903814E0,5.419092178E-1,1.489542861E0
1.911733490E-1,1.853621006E-1,-1.568777204E0,3.441896439E-1,1.616752156E0
1.961634540E-1,1.525259018E-1,-1.771566868E0,1.372203827E-1,1.783407623E0
2.011535580E-1,-1.351835728E-1,-2.001194954E0,-1.563787460E-2,2.005816638E0
2.061436620E-1,-4.242112637E-1,-2.208979368E0,-2.849020958E-1,2.267314325E0
2.111337660E-1,-5.499436855E-1,-2.353537560E0,-6.223092079E-1,2.495765584E0
2.161238700E-1,-5.095212460E-1,-2.407815218E0,-9.021935463E-1,2.621285795E0
2.211139740E-1,-3.916392326E-1,-2.382652521E0,-1.049296856E0,2.632762469E0
2.261040790E-1,-3.306264877E-1,-2.316644192E0,-1.128184319E0,2.597874909E0
2.310941830E-1,-3.425724506E-1,-2.261792660E0,-1.136439323E0,2.554321095E0
2.360842870E-1,-4.936470985E-1,-2.432987690E0,-1.585314751E0,2.945562665E0
2.410743910E-1,-8.479537964E-1,-2.617454052E0,-2.017951012E0,3.412069407E0
2.460644950E-1,-9.991004467E-1,-2.214382410E0,-1.260267735E0,2.736780211E0
2.510545990E-1,-8.697388172E-1,-1.829320908E0,-6.247034073E-1,2.119696898E0
2.560447040E-1,-6.348731518E-1,-1.738070488E0,1.073741913E-2,1.850423798E0
2.610348600E-1,-4.448652267E-1,-1.821120024E0,4.605531693E-1,1.930412503E0
2.660250160E-1,-3.493947983E-1,-1.879734635E0,9.561328888E-1,2.137678443E0
2.710151720E-1,-3.266339302E-1,-1.869885445E0,1.634933949E0,2.505228596E0
2.760053290E-1,-4.350342751E-1,-1.880345345E0,2.359533787E0,3.048336124E0
2.809954850E-1,-7.596971989E-1,-2.108070850E0,3.036903858E0,3.774107522E0
2.859856410E-1,-1.235256195E0,-2.436180115E0,3.661966801E0,4.568460602E0
2.909757970E-1,-1.626477003E0,-2.662258625E0,4.171490192E0,5.209066985E0
2.959659540E-1,-1.729603767E0,-2.777099133E0,4.374213219E0,5.462375863E0
3.009561100E-1,-1.879930258E0,-2.994347572E0,4.240582466E0,5.521122604E0
3.059462660E-1,-2.130102634E0,-3.120820999E0,3.767901421E0,5.336098018E0
3.109364220E-1,-2.183911085E0,-3.010825157E0,3.273438454E0,4.954789104E0
