"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
4.342249995E-3,-3.876638489E0,4.408482513E0,8.393645325E0,1.024286707E1
1.436625000E-2,-3.920646973E0,4.262985077E0,8.015980682E0,9.889411547E0
2.439025000E-2,-3.879183197E0,4.257296906E0,8.056696014E0,9.903685672E0
3.441425000E-2,-3.738326111E0,4.279899902E0,8.155041504E0,9.939684463E0
4.443825000E-2,-3.597319336E0,4.306095428E0,8.049510956E0,9.812124687E0
5.446224999E-2,-3.483705597E0,4.252656555E0,7.977810059E0,9.688485217E0
6.448725000E-2,-3.436853027E0,4.218976593E0,7.948171692E0,9.632505150E0
7.451125000E-2,-3.465742950E0,4.191433868E0,7.930209045E0,9.616013081E0
8.453525000E-2,-3.542533264E0,4.146527252E0,7.989336090E0,9.673299403E0
9.455925000E-2,-3.635190582E0,4.206851807E0,8.101153564E0,9.825522977E0
1.045832500E-1,-3.619173889E0,4.255051575E0,8.216862946E0,9.935830122E0
1.146082500E-1,-3.600163422E0,4.214485931E0,8.453371124E0,1.010853855E1
1.246322500E-1,-3.596870270E0,4.196373596E0,8.663983154E0,1.027675198E1
1.346562500E-1,-3.532354431E0,4.232897644E0,8.747359772E0,1.033978981E1
1.446802500E-1,-3.452121277E0,4.320465546E0,8.850944366E0,1.043660769E1
1.547042500E-1,-3.286715240E0,4.430636444E0,8.886121216E0,1.045926320E1
1.647282500E-1,-3.113824768E0,4.410578156E0,8.754095764E0,1.028510073E1
1.747532500E-1,-2.987038422E0,4.364174652E0,8.694669342E0,1.017672314E1
1.847772500E-1,-2.942580872E0,4.340823212E0,8.604556732E0,1.007670208E1
1.948012500E-1,-2.942131805E0,4.411925354E0,8.417146454E0,9.948345557E0
2.048252500E-1,-2.930605774E0,4.527485046E0,8.313412170E0,9.909560685E0
2.148492500E-1,-2.951562195E0,4.563410339E0,8.315507812E0,9.933987291E0
2.248742500E-1,-2.871478729E0,4.650080109E0,8.263865204E0,9.907578070E0
2.348982500E-1,-2.779120789E0,4.688999176E0,8.175399170E0,9.825852493E0
2.449222500E-1,-2.631527710E0,4.581822052E0,8.168513489E0,9.728445098E0
