"time","x","y","z","abs"
5.980433700E-2,-1.640370131E0,8.420996666E-1,6.050243378E-1,1.940618577E0
6.479366000E-2,-1.374161720E0,7.643790245E-1,6.187248230E-1,1.689797660E0
6.978438900E-2,-1.431685328E0,6.807603836E-1,5.291709900E-1,1.671280801E0
7.477647200E-2,-1.393574357E0,7.098474503E-1,3.554162979E-1,1.603824690E0
7.976975300E-2,-1.364929914E0,7.563424110E-1,3.681964874E-1,1.603326594E0
8.476407600E-2,-1.369157910E0,7.944421768E-1,4.470119476E-1,1.644856054E0
8.975923200E-2,-1.325352669E0,7.752346992E-1,4.604358673E-1,1.602981511E0
9.475501400E-2,-1.293791413E0,7.653431892E-1,1.738824844E-1,1.513235453E0
9.975116000E-2,-1.071325541E0,8.273253441E-1,3.511810303E-2,1.354045391E0
1.047474100E-1,-9.153521657E-1,8.104252815E-1,-1.620759964E-1,1.233258834E0
1.097407950E-1,-8.948485851E-1,6.324071884E-1,-3.299107552E-1,1.144348701E0
1.147310030E-1,-1.432744026E0,3.316831589E-1,1.883449554E0,2.389592306E0
1.197212120E-1,-1.187018633E0,2.276911736E-1,1.700841904E0,2.086556898E0
1.247114200E-1,-1.166202068E0,5.561642647E-1,8.655242920E-1,1.555145734E0
1.297016280E-1,-7.408332229E-1,3.510618210E-1,9.525775909E-2,8.253195181E-1
1.346918370E-1,-2.438329458E-1,1.805038452E-1,-8.237357140E-1,8.778249655E-1
1.396820450E-1,-5.965018272E-2,1.548223495E-1,-1.059527874E0,1.072439938E0
1.446722530E-1,5.937224030E-1,1.057567596E-1,-1.710569859E0,1.813764049E0
1.496624620E-1,9.962437749E-1,-1.122164726E-1,-2.171139717E0,2.391430925E0
1.546526700E-1,1.278024554E0,-3.636164665E-1,-2.465451717E0,2.800717027E0
1.596428780E-1,1.675768495E0,-7.634954453E-1,-2.745176315E0,3.305619207E0
1.646330870E-1,2.063300133E0,-1.277876377E0,-3.119483948E0,3.952386061E0
1.696232950E-1,2.292689085E0,-1.710011959E0,-3.327791214E0,4.388024442E0
1.746135030E-1,2.229961872E0,-1.873898029E0,-3.230716228E0,4.349913921E0
1.796037120E-1,1.887079835E0,-1.516209364E0,-2.869017601E0,3.753827798E0
1.845939200E-1,1.106808424E0,-1.597142220E-1,-1.800331593E0,2.119369567E0
1.895841280E-1,-5.815970898E-2,4.157018661E-1,-5.939893723E-1,7.273334638E-1
1.945743370E-1,-6.895882487E-1,3.803358078E-1,4.288673401E-2,7.886865990E-1
1.995645450E-1,-7.280021310E-1,5.232357979E-1,2.926449776E-1,9.430821204E-1
2.045547530E-1,-8.092144728E-1,3.329153061E-1,4.670524597E-1,9.918662531E-1
2.095449620E-1,-7.945359945E-1,1.533212662E-1,4.283676147E-1,9.155837868E-1
2.145351700E-1,-5.990048051E-1,8.862876892E-2,3.035621643E-1,6.773564813E-1
2.195253780E-1,-5.230410695E-1,-1.491837502E-1,1.741242409E-1,5.710928147E-1
2.245155870E-1,-1.872226596E-1,-1.170811653E-1,2.950787544E-1,3.685536526E-1
2.295057950E-1,-1.064306498E-2,-2.427377701E-1,3.682909012E-1,4.412177328E-1
2.344960030E-1,6.466943026E-2,-3.188936710E-1,3.947381973E-1,5.115599213E-1
2.394862120E-1,1.185528040E-1,-4.284472466E-1,4.759473801E-1,6.512662428E-1
2.444764200E-1,2.274861336E-1,-5.213716030E-1,5.730056763E-1,8.074117874E-1
2.494666280E-1,4.497344494E-1,-5.347719193E-1,6.667146683E-1,9.657901063E-1
2.544568370E-1,6.985602379E-1,-4.866273403E-1,7.359886169E-1,1.125376301E0
2.594470450E-1,8.934034109E-1,-4.439370632E-1,8.283233643E-1,1.296676277E0
2.644372530E-1,1.009729743E0,-4.184360504E-1,9.104347229E-1,1.422509848E0
2.694274620E-1,9.999883175E-1,-4.003877640E-1,1.003623009E0,1.472258856E0
2.744176700E-1,8.995075226E-1,-3.731944561E-1,1.032475471E0,1.419293305E0
2.794078780E-1,6.931470633E-1,-3.086321354E-1,1.070973396E0,1.312513109E0
2.843980870E-1,3.777348995E-1,-2.236261368E-1,1.043633461E0,1.132193934E0
2.893882950E-1,-8.526132107E-1,-4.474978447E-1,9.845352173E-1,1.377139500E0
2.943785030E-1,-2.444396734E0,-9.184873104E-1,9.561815262E-1,2.780823160E0
2.993687120E-1,-2.689086676E0,-5.907809734E-1,9.099540710E-1,2.899694073E0
3.043589200E-1,-2.212583542E0,-4.103748798E-1,7.189064026E-1,2.362363200E0
3.093491280E-1,-3.910929203E0,-3.988349438E-1,2.751831055E0,4.798646757E0
3.143393370E-1,-4.854910851E0,3.044774532E-1,4.868227005E0,6.882041852E0
